SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Puente De Hozho,public,3401 N. 4th Street,Flagstaff,Coconino,86004-,N/A,,71,99,1.4,-,99,1.4,-,97,2.8,-,97,2.8,-,97,2.8,-,4.23,0,N/A
Quail Run Elementary,public,4600 W Cortaro Farms Road,Tucson,Pima,85742-,N/A,,83,98,2.4,-,98,2.4,-,98,2.4,-,98,2.4,-,98,2.4,-,2.41,0,N/A
Quail Run Elementary School,charter,3303 E. Utopia Road,Phoenix,Maricopa,85050-,N/A,,131,89,3.1,-,92,2.3,-,95,3.1,-,98,.8,-,98,.8,-,2.29,.8,N/A
Quartz Hill Elementary,public,3680 S. Quartz St.,Gilbert,Maricopa,85297-,N/A,,90,93,5.6,-,94,5.6,-,93,6.7,-,94,5.6,-,94,5.6,-,5.56,1.1,N/A
Queen Creek Elementary,public,23636 S. 204th Street,Queen Creek,Maricopa,85142-,N/A,,70,87,7.1,-,90,7.1,-,91,7.1,-,93,7.1,-,93,7.1,-,7.14,0,N/A
Quentin Elementary,public,11050 West Whyman Ave,Avondale,Maricopa,85323-,N/A,,95,97,0,-,100,0,-,99,0,-,100,0,-,100,0,-,0,0,N/A
Rainbow Valley Elementary,public,19716 W. Narramore,Buckeye,Maricopa,85326-,N/A,,68,90,5.9,-,90,5.9,-,91,5.9,-,93,5.9,-,93,5.9,-,5.88,0,N/A
Ranch Elementary School,public,43521 N. Kenworthy Rd.,San Tan Valley,Pinal,85140-,N/A,,63,95,4.8,-,95,4.8,-,95,4.8,-,97,3.2,-,98,1.6,-,4.76,0,N/A
Rancho Gabriela,public,15272 W. Gabriela Dr.,Surprise,Maricopa,85379-,N/A,,108,88,10.2,-,88,10.2,-,88,12,-,92,7.4,-,97,2.8,-,11.11,1.9,N/A
Rancho Santa Fe Elementary School,public,2150 N Rancho Sante Fe Blvd,Avondale,Maricopa,85392-,N/A,,98,93,0,-,92,0,-,94,0,-,100,0,-,94,0,-,0,0,N/A
Rancho Solano Preparatory School,private,1305 S Gilbert Rd,Gilbert,Maricopa,85296-,N/A,,36,100,0,-,100,0,-,100,0,-,97,2.8,-,100,0,-,0,2.8,N/A
Rancho Solano Preparatory School,private,1305 S. Gilbert Road,Gilbert,Maricopa,85296-,N/A,,36,100,0,-,97,0,-,97,0,-,97,2.8,-,100,0,-,0,2.8,N/A
Rancho Solano Preparatory School Greenway Campus,private,5656 E Greenway Rd,Scottsdale,Maricopa,85254-,N/A,,49,96,4.1,-,96,4.1,-,96,4.1,-,96,4.1,-,96,4.1,-,4.08,0,N/A
Rancho Solano Preparatory School-hillcrest Campus,private,7877 W. Hillcrest Blvd.,Peoria,Maricopa,85383-,N/A,,40,95,5,-,95,5,-,95,5,-,98,2.5,-,98,2.5,-,5,0,N/A
